[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /stock                    --> stonk-watcher/internal/handlers.StockHandler (4 handlers)
[GIN-debug] DELETE /stock                    --> stonk-watcher/internal/handlers.TruncateStockInfo (4 handlers)
[GIN-debug] GET    /stock/price              --> stonk-watcher/internal/handlers.StockPriceHandler (4 handlers)
[GIN-debug] GET    /watchlist                --> stonk-watcher/internal/handlers.GetWatchlistHandler (4 handlers)
[GIN-debug] POST   /watchlist                --> stonk-watcher/internal/handlers.UpdateWatchlistHandler (4 handlers)
[GIN-debug] GET    /                         --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] GET    /static/*file             --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/03/15 - 11:30:01 | 200 |  359.988303ms |             ::1 | GET      "/stock/price?ticker=NFLX"
[GIN] 2021/03/15 - 11:30:02 | 200 |  501.682582ms |             ::1 | GET      "/stock/price?ticker=NVDA"
[GIN] 2021/03/15 - 11:30:02 | 200 |   300.92959ms |             ::1 | GET      "/stock/price?ticker=VMW"
[GIN] 2021/03/15 - 11:30:02 | 200 |   289.62633ms |             ::1 | GET      "/stock/price?ticker=SLB"
[GIN] 2021/03/15 - 11:30:02 | 200 |  304.471303ms |             ::1 | GET      "/stock/price?ticker=CVX"
[GIN] 2021/03/15 - 11:30:02 | 200 |  327.441891ms |             ::1 | GET      "/stock/price?ticker=XOM"
[GIN] 2021/03/15 - 11:30:02 | 200 |  316.410937ms |             ::1 | GET      "/stock/price?ticker=FANG"
[GIN] 2021/03/15 - 11:30:02 | 200 |  268.461107ms |             ::1 | GET      "/stock/price?ticker=ET"
[GIN] 2021/03/15 - 11:30:02 | 200 |  268.501351ms |             ::1 | GET      "/stock/price?ticker=FE"
[GIN] 2021/03/15 - 11:30:02 | 200 |  303.149804ms |             ::1 | GET      "/stock/price?ticker=FTI"
[GIN] 2021/03/15 - 11:30:02 | 200 |  293.430124ms |             ::1 | GET      "/stock/price?ticker=GME"
[GIN] 2021/03/15 - 11:30:02 | 200 |   266.07374ms |             ::1 | GET      "/stock/price?ticker=VZ"
[GIN] 2021/03/15 - 11:30:02 | 200 |  274.381427ms |             ::1 | GET      "/stock/price?ticker=T"
[GIN] 2021/03/15 - 11:30:02 | 200 |  288.305581ms |             ::1 | GET      "/stock/price?ticker=KO"
[GIN] 2021/03/15 - 11:30:02 | 200 |  1.246235206s |             ::1 | GET      "/stock/price?ticker=SNE"
[GIN] 2021/03/15 - 11:30:03 | 200 |  297.950439ms |             ::1 | GET      "/stock/price?ticker=NOC"
[GIN] 2021/03/15 - 11:30:03 | 200 |  303.864787ms |             ::1 | GET      "/stock/price?ticker=LMT"
[GIN] 2021/03/15 - 11:30:03 | 200 |  302.465266ms |             ::1 | GET      "/stock/price?ticker=WMT"
[GIN] 2021/03/15 - 11:30:03 | 200 |  291.966084ms |             ::1 | GET      "/stock/price?ticker=BBY"
[GIN] 2021/03/15 - 11:30:03 | 200 |  1.208221739s |             ::1 | GET      "/stock/price?ticker=PFE"
[GIN] 2021/03/15 - 11:30:03 | 200 |  1.190401172s |             ::1 | GET      "/stock/price?ticker=PEP"
[GIN] 2021/03/15 - 11:30:19 | 200 |  336.564276ms |             ::1 | GET      "/stock/price?ticker=AAPL"
[GIN] 2021/03/15 - 11:30:19 | 200 |  342.862608ms |             ::1 | GET      "/stock/price?ticker=MSFT"
[GIN] 2021/03/15 - 11:30:19 | 200 |  368.568526ms |             ::1 | GET      "/stock/price?ticker=FB"
[GIN] 2021/03/15 - 11:30:19 | 200 |  369.199484ms |             ::1 | GET      "/stock/price?ticker=ADBE"
[GIN] 2021/03/15 - 11:30:19 | 200 |  489.587424ms |             ::1 | GET      "/stock/price?ticker=TWTR"
[GIN] 2021/03/15 - 11:30:19 | 200 |  318.779977ms |             ::1 | GET      "/stock/price?ticker=GOOG"
[GIN] 2021/03/15 - 11:30:19 | 200 |  316.160523ms |             ::1 | GET      "/stock/price?ticker=BABA"
[GIN] 2021/03/15 - 11:30:19 | 200 |  268.334101ms |             ::1 | GET      "/stock/price?ticker=TSLA"
[GIN] 2021/03/15 - 11:30:20 | 200 |  520.322293ms |             ::1 | GET      "/stock/price?ticker=NFLX"
[GIN] 2021/03/15 - 11:30:20 | 200 |  300.220119ms |             ::1 | GET      "/stock/price?ticker=SNE"
